question,answer,response_time_s,num_sources,source_pages
What are the main parts of a loom?,"103 The machinery used in yarn mills for making 200s is as follows: automatic feeder, opener, breaker picker, card, sliver-lap machine, ribbon-lap machine, comber, first dav « ring, sec-ond drawing, third drawing, fourth drawing, slubber, first interradiumate, second intermediate, roving frame, mule. Although the foregoing combinations may be considered as the standards for the class of work to which they refer, it occasionally happens that mills are found using different lay-outs. This may be because the mill is intended to make a low or higher grade of yarn than is customary for the numbers referred to, or because it is a mill that has been changed over from other numbers and, the old machinery has been retained; or there may be many other reasons. The objects of all cotton-yam-preparation machines are: (1) the separation of the matted mass of fiber into loose flakes and the removal of the heavier and more bulky impurities, which objects are principally attained in the opening and picking processes; (2) the further cleansing of the stock from light and minute particles",9.99,4,"[134, 31, 199, 366]"
How is yarn count calculated?,YARNCALCULATION STABLE—(Continued)Wt.inGr.,0.95,4,"[45, 71, 43, 42]"
What causes defects in woven fabric?,I cannot find this information in the manual.,0.71,4,"[128, 228, 224, 152]"
What is the purpose of the warp?,"The bobbins j, as they come from the spinning frame are placed in the bobbin holderk, the end of yam being passed into a swinging arm similar to  3, and then carried T;o the thread guide I, from which it passes to the spool h. As the spool turns, they are spooled on it. The traverse of them a month the spool is obtained by imparting an up-and-down motion to the ailmon which the thread gtiides I are secured. This motion is given to the traverser U by means of the rods mi, motion being imparted to these rods by the rods ni2, which are connected to the arms n; these arms are acted on by aangle gear / and quadrant «i. The bobbin boxes, in which the bobbins are kept, are shown at ;g shows the cows on which the spools are placed as they become full. In cases where they are to be spooled is wound on cops or bobbins with a fill",9.46,4,"[278, 268, 270, 266]"
How to calculate the number of picks per inch?,"Multiply the width in the weed, in inches, by the number of picks per inch. Multiply this result by the length of the cloth, in yards, and divide the result thus obtained by the number of yards to the hank. Example.",2.43,4,"[101, 213, 33, 336]"
What is the difference between warp and weft?,WARP PREPARATION 229 Calculate,0.86,4,"[278, 270, 266, 268]"
How many threads are typically used in cotton fabric?,I cannot find this information in the manual.,0.5,4,"[128, 168, 152, 182]"
What is the function of a bobbin?,"f the bobbin, each suc-ceeding layer being slightly shorter than the preceding, which gives to the full bobbin at a per at both ends. When winding they are on a filling-wind bobbin each layer instead of extending from one end of the bobbin to the other extends only a short distance, and each successive layer is moved slightly higher on the bobbin. COTTON WEAVING 279 metal rings h securely placed on the heel of the bobbin h. When the trans-ferrer forces a fresh bobbin from the hopper into the shuttle, the heel of the bobbin is forced between the tines of the shuttle spring, and the notches in the latter, by engaging with the rings placed on the bobbin, securely hold,.:..,«s - the bobbin in its proper position in the ' Jf shuttle. At the same time the new bobbin, by striking on top of the bob-bin already in the shuttle, forces the latter out of the shuttle spring so that it falls through the openings in the bottom of the shuttle and",10.95,4,"[222, 318, 222, 380]"
What is the capital of France?,Paris,0.29,4,"[412, 408, 432, 417]"
How to cook pasta?,                                                                                                                               ,9.44,4,"[259, 272, 260, 46]"
